eo_bucket,player_weeks,mean_eo,mean_points,points_sd,haul_rate,blank_rate,mean_nonowner_rank_points
0-10%,5355,0.031076456017740905,3.7359477124183007,3.3504283053315516,0.13669467787114845,0.5478991596638656,-0.12111834167531961
10-30%,1389,0.18136217952988,4.5903527717782575,3.9766891656053285,0.21814254859611232,0.4701223902087833,-0.8444284793793991
30-50%,476,0.39127866619422114,4.733193277310924,4.01709912255846,0.19747899159663865,0.4369747899159664,-1.8423482285730177
50-70%,335,0.599219723361749,5.038805970149253,3.8762656895229233,0.2417910447761194,0.41194029850746267,-3.0189878228930804
70-100%,370,0.8533539888970393,6.356756756756757,4.9771586968932295,0.35405405405405405,0.34054054054054056,-5.439371756080318
>100%,168,1.5445684266706095,8.202380952380953,5.477837245112927,0.4880952380952381,0.20238095238095238,-12.91617972493845
