season,gameweek,ridge_xp_mae,structural_xp_mae,hybrid_xp_mae,ridge_xp_top5_points,structural_xp_top5_points,hybrid_xp_top5_points,ridge_xp_top5_3gw,structural_xp_top5_3gw,hybrid_xp_top5_3gw,ridge_xp_ndcg10,structural_xp_ndcg10,hybrid_xp_ndcg10,ridge_xp_captain_regret,structural_xp_captain_regret,hybrid_xp_captain_regret
2024/25,18,2.0908697561033054,1.9971547581901505,2.0350402089270947,4.2,5.6,4.2,12.642,11.180000000000001,12.642,0.43973627647522584,0.5117800063217026,0.45345061387428276,2.0,2.0,2.0
2024/25,19,2.281163210382694,2.0858350300055535,2.2007926838589267,6.6,7.0,6.6,18.300000000000004,19.204,18.300000000000004,0.5201910436045546,0.5323197738056429,0.5159439074946754,0.0,0.0,0.0
2024/25,20,2.2296601176065627,1.9928379678192947,2.1286443191274182,9.0,7.8,9.0,22.284,16.458000000000002,22.284,0.6238532084087997,0.4387151772860934,0.5069849266825157,12.0,12.0,12.0
2024/25,21,2.2290996942863113,1.9981845713461637,2.1345424598637375,7.8,10.0,7.8,16.98,18.856,16.98,0.4666593458738344,0.5429594370357342,0.540557249658604,18.0,4.0,18.0
2024/25,22,2.4022241929386907,2.159900068948945,2.306322133017593,6.4,6.4,6.4,21.25,21.25,21.25,0.35143368903655237,0.3508010072536021,0.3208232583687695,16.0,16.0,16.0
2024/25,23,2.250791404689407,2.0417281888526895,2.152531571363682,9.0,7.6,9.0,23.490000000000002,21.46,24.246000000000002,0.5802480928029645,0.5362460256493835,0.5827072803101531,13.0,13.0,13.0
2024/25,24,2.7147154214390143,2.396040617842708,2.5768808429632246,9.0,11.8,10.2,19.782,23.68,22.692,0.5301600677784075,0.7098494057069876,0.6629543106375151,0.0,0.0,0.0
2024/25,25,2.258201187543637,2.0745674685611815,2.164673192896804,7.0,12.2,10.2,13.389999999999997,20.93,17.76,0.5516770411723397,0.7173757627739682,0.6409116475872947,0.0,0.0,0.0
2024/25,26,2.6632939413076273,2.42159453449903,2.5605597710070827,8.6,10.2,8.6,15.943999999999999,17.4,15.943999999999999,0.4960348156930781,0.6254958002067809,0.5048320984363744,1.0,1.0,1.0
2024/25,27,2.12821223424211,1.9862290429309692,2.0413607586280023,7.0,8.4,7.6,15.766,18.678,15.034,0.47073611127787657,0.5530146381446288,0.4992255147733221,9.0,9.0,9.0
2024/25,28,2.107494845968133,1.912358105344245,2.0002835334051317,4.0,4.6,4.6,4.486,5.086,5.086,0.41139648146445545,0.5609590433703668,0.4676784557127852,0.0,0.0,0.0
2024/25,29,2.2484701694576166,2.021647073657657,2.1491779493621888,6.8,2.6,6.6,9.175999999999998,5.138,8.472,0.4876603356347384,0.37359432020350175,0.4255406638668473,10.0,15.0,10.0
2024/25,30,2.040919124441371,1.7885582971549545,1.9239440856447971,3.4,2.8,1.2,6.298,4.816,3.882,0.2461024945055655,0.3213904160866988,0.2723221504583732,8.0,8.0,8.0
2024/25,31,2.0477684344198113,1.7457174823209227,1.909587645864833,1.4,1.8,1.8,3.4879999999999995,8.693999999999999,4.715999999999999,0.16049553995436439,0.18247232254939724,0.17047317273910143,11.0,11.0,11.0
2024/25,32,2.5888221687295494,2.246349601094341,2.4516805201544365,7.8,12.6,10.0,14.406,18.665999999999997,16.606,0.3202826095076463,0.6557998578550753,0.5009638482467205,21.0,20.0,21.0
2024/25,33,2.6232830272226946,2.190493943070779,2.449921589399497,2.8,10.0,9.0,9.568000000000001,12.430000000000001,13.968,0.3591642948757817,0.5118316612380592,0.4377252923320813,21.0,17.0,21.0
2024/25,34,2.1607159746660902,2.0005707037391103,2.0848829745199002,5.4,5.2,6.0,10.998000000000001,9.124,10.464,0.4452077806202307,0.4480647071639677,0.43928714061365626,7.0,12.0,7.0
2024/25,35,2.1399629730543994,1.8987346834640215,2.013287957483,6.0,5.0,5.0,11.31,13.118,13.622000000000003,0.4911002558722769,0.3382495234125498,0.44000139216001116,9.0,12.0,9.0
2024/25,36,2.6003882898592967,2.424693677584818,2.5177547009818837,3.2,2.2,2.8,8.546000000000001,7.725999999999999,7.462000000000001,0.20255924251710972,0.1986840902198965,0.19981053717443004,14.0,15.0,14.0
2024/25,37,2.1420498428275785,1.8933344690262268,2.038612367449049,3.6,5.2,3.6,,,,0.36188426999833134,0.47130364641001,0.346841508199827,13.0,5.0,13.0
2024/25,38,2.1515791981246397,1.9299632652675738,2.049288101351402,4.2,3.8,3.6,,,,0.3319132700401407,0.3453338571954504,0.32020310015767994,6.0,6.0,6.0
2025/26,2,2.3489660761313016,2.2448022848973617,2.2295100395628715,4.8,6.2,7.0,14.196000000000002,14.426000000000002,17.044,0.40082630047995915,0.37033856615673133,0.40541992104758556,13.0,13.0,13.0
2025/26,3,2.460141533480286,2.3872442567383474,2.401074012613533,6.6,3.2,5.2,18.048000000000002,12.812000000000001,18.214000000000002,0.4395643726772888,0.3453883017066789,0.4238103038185255,6.0,6.0,6.0
2025/26,4,2.2864773522207584,2.2724391074225836,2.2500382338689415,7.4,7.4,7.4,15.644000000000002,17.246000000000002,15.644000000000002,0.5699448839973892,0.5873537751987865,0.5790816854392874,3.0,3.0,3.0
2025/26,5,2.155291382676805,2.016246445382165,2.092560535467813,5.6,5.2,5.2,12.764,12.058,12.058,0.4307290537668477,0.41719953236658325,0.4371200268809453,6.0,6.0,6.0
2025/26,6,2.2967949842772475,2.1118988868774045,2.213859602522466,5.2,6.2,5.2,16.954,17.342,15.496,0.40574035686519355,0.4803949990042916,0.3962534703619104,1.0,1.0,1.0
2025/26,7,2.091020199538424,2.0077443675689297,2.0422740141728966,4.2,6.0,5.2,15.018,15.540000000000001,14.02,0.46603742384460284,0.550154428620207,0.4934995709996664,10.0,10.0,10.0
2025/26,8,2.2748606625135994,2.1573791701501266,2.213827975305702,5.6,5.0,5.4,14.15,13.766000000000002,14.976000000000003,0.4045908196039473,0.4378718203122537,0.37997506507877615,5.0,5.0,5.0
2025/26,9,2.2836931018577102,2.151744063154505,2.2099445628064798,3.4,4.2,3.4,13.966,12.588000000000001,13.966,0.2886750563099041,0.31108401852947254,0.29505137585195557,21.0,21.0,21.0
2025/26,10,2.147359357417233,2.123752229378872,2.1201234510990754,8.4,8.2,8.4,13.458000000000002,12.16,13.458000000000002,0.5962656902846518,0.6810356979587702,0.673189614573435,1.0,1.0,1.0
2025/26,11,2.3072852610888526,2.2616803076529486,2.272908873507372,4.4,1.8,4.4,9.854000000000001,5.039999999999999,9.854,0.37272090252221296,0.21807799161136907,0.35781470034779767,11.0,11.0,11.0
2025/26,12,2.5786865518225652,2.407272906324151,2.5106697613835416,2.0,2.6,2.0,8.569999999999999,7.784000000000001,8.569999999999999,0.23445013435927148,0.2509118446253178,0.19179598450494223,18.0,16.0,18.0
2025/26,13,2.31257930090387,2.1513009764376303,2.2398871886499956,7.0,6.8,7.0,17.26,16.304000000000002,17.26,0.3139409687364985,0.4723928310863776,0.4208448512186342,14.0,14.0,14.0
2025/26,14,2.3013995720402907,2.1820162434396355,2.2388952099708446,5.4,5.4,5.4,17.478,17.838,17.478,0.44972978779039524,0.2775292820332341,0.4570760393810279,3.0,16.0,3.0
2025/26,15,2.2742879402791183,2.1486733626165084,2.2108108735030263,7.8,4.4,7.2,20.166,14.552000000000001,19.566,0.44269426618323554,0.4726711334683765,0.4783200723834353,16.0,16.0,16.0
2025/26,16,2.4606486920102775,2.362333235990767,2.4140530278308248,10.0,5.8,10.0,18.712,11.524,18.712,0.5420465661978822,0.4308185149091979,0.5286844835146038,5.0,7.0,7.0
2025/26,17,2.420265489220878,2.2468851067179605,2.3325558387489274,6.6,6.6,5.0,12.792000000000002,10.739999999999998,9.428,0.5841578887267345,0.4847851589885906,0.4787476445755598,0.0,0.0,0.0
2025/26,18,2.250422237237392,2.2186023393175742,2.2223627279091267,3.2,2.2,3.2,6.836,7.42,6.836000000000001,0.3347893585355859,0.19550758852700223,0.2934502578395317,18.0,18.0,18.0
2025/26,19,2.466833754895336,2.4432865802159545,2.4465552178925845,3.0,3.2,3.2,8.166,9.23,8.708,0.29165613602322854,0.20835972779987863,0.28099530365184044,14.0,13.0,14.0
2025/26,20,2.333984436218177,2.21002344634775,2.2716852143371797,3.0,3.6,3.0,6.312,8.388,6.312,0.24899999449850121,0.2258301385337711,0.24764217271361555,15.0,15.0,15.0
2025/26,21,2.1837042317554403,2.1355745414377756,2.145734303869929,2.8,4.8,2.8,6.202,8.364,6.202,0.3410490303967913,0.40934359235820494,0.33959015129960746,8.0,8.0,8.0
2025/26,22,2.437737292260191,2.3213220685104266,2.3761223226250006,3.4,3.6,3.4,9.898,11.430000000000001,9.898,0.32776900192983066,0.3717953842129468,0.3461305491500945,13.0,5.0,13.0
2025/26,23,2.4166173167975495,2.257754758506267,2.329204667249464,1.4,2.8,3.0,7.376,11.152000000000001,10.56,0.21197575662290472,0.21412771947793321,0.18013946892115867,12.0,12.0,12.0
2025/26,24,2.228936306906826,2.0981212513361904,2.159051914622231,5.4,5.6,5.0,11.520000000000001,8.336000000000002,9.680000000000001,0.38697718105632756,0.5703832975759546,0.46878305325778774,13.0,1.0,1.0
2025/26,25,2.199712478652574,2.084508181143182,2.1335851834834556,6.0,4.8,6.2,12.948000000000002,9.768,11.564,0.5748209631752129,0.42202254440735704,0.46199908613985174,10.0,14.0,18.0
