season_label,strategy,selections,mean_actual_points,median_actual_points,mean_predicted_points,haul_rate,blank_rate,mean_realized_value_edge,beat_price_peer_rate
2023/24,differential_top_5,185,4.3621621621621625,2.0,4.0952708352806315,0.2,0.518918918918919,0.7764427540033325,0.3675675675675676
2023/24,model_top_5,185,5.291891891891892,3.0,4.909079222211678,0.25405405405405407,0.42702702702702705,0.8821440548087036,0.42162162162162165
2023/24,overvalued_bottom_5,185,1.3891891891891892,0.0,1.5947306581987952,0.043243243243243246,0.8648648648648649,-1.2791814961769645,0.12972972972972974
2023/24,template_70_plus,196,5.612244897959184,4.0,4.433833015622754,0.29081632653061223,0.4387755102040816,1.7420069762933148,0.47959183673469385
2023/24,undervalued_top_5,185,3.6648648648648647,2.0,3.8815532122480634,0.15135135135135136,0.6270270270270271,0.8999097914049703,0.3567567567567568
2023/24,value_top_5,185,2.881081081081081,2.0,3.346007638286367,0.06486486486486487,0.6648648648648648,0.47258569680449314,0.33513513513513515
2024/25,differential_top_5,185,3.843243243243243,2.0,4.372788128387177,0.15675675675675677,0.572972972972973,-0.015981544369718274,0.34594594594594597
2024/25,model_top_5,185,5.832432432432433,3.0,5.3783767798558895,0.31351351351351353,0.43243243243243246,0.93961990094728,0.42162162162162165
2024/25,overvalued_bottom_5,185,1.8918918918918919,0.0,1.5780939687853996,0.06486486486486487,0.7675675675675676,-0.8267286979541747,0.22702702702702704
2024/25,template_70_plus,166,5.837349397590361,3.0,4.8287186365009855,0.3253012048192771,0.43373493975903615,1.4790380874655475,0.4759036144578313
2024/25,undervalued_top_5,185,3.481081081081081,2.0,4.115166582463088,0.12972972972972974,0.6216216216216216,0.5520382723539458,0.34054054054054056
2024/25,value_top_5,185,3.0054054054054054,2.0,3.5128161416909935,0.10270270270270271,0.6648648648648648,0.4640275951504991,0.32972972972972975
2025/26,differential_top_5,185,3.8162162162162163,2.0,4.253846085125305,0.16756756756756758,0.5459459459459459,0.1697878273506379,0.372972972972973
2025/26,model_top_5,185,4.962162162162162,3.0,5.106047671775961,0.2648648648648649,0.4756756756756757,0.47200118871413405,0.40540540540540543
2025/26,overvalued_bottom_5,185,1.6378378378378378,1.0,1.6531351405121784,0.043243243243243246,0.7621621621621621,-1.1514356285416651,0.22162162162162163
2025/26,template_70_plus,142,5.119718309859155,3.0,4.751582961411165,0.28169014084507044,0.4507042253521127,0.9787208284857195,0.47183098591549294
2025/26,undervalued_top_5,185,3.6324324324324326,2.0,4.140146658671124,0.14054054054054055,0.5513513513513514,0.7021803262486488,0.4
2025/26,value_top_5,185,3.189189189189189,2.0,3.411304116629617,0.10270270270270271,0.5135135135135135,0.7332762642910002,0.4864864864864865
All evaluation seasons,differential_top_5,555,4.007207207207207,2.0,4.240635016264371,0.17477477477477477,0.5459459459459459,0.31008301232808405,0.3621621621621622
All evaluation seasons,model_top_5,555,5.3621621621621625,3.0,5.1311678912811765,0.2774774774774775,0.44504504504504505,0.7645883814900393,0.41621621621621624
All evaluation seasons,overvalued_bottom_5,555,1.6396396396396395,1.0,1.6086532558321243,0.05045045045045045,0.7981981981981981,-1.0857819408909348,0.1927927927927928
All evaluation seasons,template_70_plus,504,5.5476190476190474,3.0,4.653419335796843,0.2996031746031746,0.44047619047619047,1.4403413641225054,0.47619047619047616
All evaluation seasons,undervalued_top_5,555,3.592792792792793,2.0,4.045622151127425,0.14054054054054055,0.6,0.7180427966691882,0.36576576576576575
All evaluation seasons,value_top_5,555,3.0252252252252254,2.0,3.423375965535659,0.09009009009009009,0.6144144144144145,0.5566298520819974,0.3837837837837838
