season,season_label,gameweek,eligible_players,mean_actual_points,mean_predicted_points,differentials,undervalued,overvalued
2023,2023/24,33,188,2.877659574468085,2.7878932158818546,37,22,6
2023,2023/24,34,189,3.751322751322751,2.7484714236924153,44,25,14
2023,2023/24,35,190,2.9842105263157896,3.0993267947074274,34,48,25
2023,2023/24,36,200,3.36,2.9951476407709494,46,49,26
2023,2023/24,37,200,3.76,3.0081762870779714,44,47,24
2023,2023/24,38,205,2.921951219512195,3.2657703500086925,36,50,32
2024,2024/25,2,209,3.0334928229665072,2.823456032802368,38,34,17
2024,2024/25,3,193,2.761658031088083,2.9270703098137116,35,34,14
2024,2024/25,4,190,2.8,2.8561364043713158,33,30,19
2024,2024/25,5,182,2.89010989010989,2.8406483883846665,38,35,16
2024,2024/25,6,181,2.9060773480662982,2.8766006704217735,39,37,14
2024,2024/25,7,187,3.299465240641711,2.8859104003581817,34,28,17
2024,2024/25,8,190,2.731578947368421,2.8529757834714933,37,30,15
2024,2024/25,9,187,2.5454545454545454,2.8550320900550723,40,30,12
2024,2024/25,10,181,3.0718232044198897,2.8171692343741244,36,31,15
2024,2024/25,11,183,2.8688524590163933,2.832383685347969,37,33,17
2024,2024/25,12,188,2.728723404255319,2.8376124724663376,36,32,17
2024,2024/25,13,191,2.816753926701571,2.7878345527413466,37,37,25
2024,2024/25,14,184,2.6467391304347827,2.8336576406760083,41,29,16
2024,2024/25,15,165,2.3636363636363638,2.863545375912036,38,40,14
2024,2024/25,16,160,2.91875,2.766099628707102,30,32,15
2024,2024/25,17,174,3.281609195402299,2.7970883890704865,31,31,14
2024,2024/25,18,176,3.0625,2.801550719255775,32,32,20
2024,2024/25,19,177,2.6610169491525424,2.9032472572859898,29,30,13
2024,2024/25,20,179,2.787709497206704,2.850812978547214,32,43,21
2024,2024/25,21,182,2.978021978021978,2.8699829894415756,35,34,16
2024,2024/25,22,180,2.7444444444444445,2.922539725195348,34,29,9
2024,2024/25,23,183,3.120218579234973,2.8839574694497996,35,29,19
2024,2024/25,24,194,3.3350515463917527,2.9075473639282627,37,23,15
2024,2024/25,25,195,2.958974358974359,2.9784747571999297,36,41,26
2024,2024/25,26,197,2.934010152284264,2.978809859515283,40,44,26
2024,2024/25,27,188,3.0531914893617023,2.962154216817065,38,41,21
2024,2024/25,28,188,2.9893617021276597,2.946383187370881,37,31,17
2024,2024/25,29,178,2.398876404494382,2.9234291622331745,39,38,14
2024,2024/25,30,165,2.484848484848485,2.7497507417919818,31,43,20
2024,2024/25,31,158,2.4177215189873418,2.8017471635820255,34,26,14
2024,2024/25,32,157,3.178343949044586,2.7522439132703127,37,23,16
2024,2024/25,33,182,3.3076923076923075,2.930537636266377,41,37,15
2024,2024/25,34,188,2.377659574468085,3.080447857792455,35,49,23
2024,2024/25,35,179,2.787709497206704,2.7129085789819394,33,48,29
2024,2024/25,36,174,3.2011494252873565,2.8733740901504636,39,38,12
2024,2024/25,37,168,2.642857142857143,2.801208357449975,34,30,15
2024,2024/25,38,174,2.781609195402299,2.844096921059888,36,33,18
2025,2025/26,2,212,3.19811320754717,3.03651034840435,36,49,33
2025,2025/26,3,183,3.371584699453552,3.075387349429027,33,48,14
2025,2025/26,4,178,3.460674157303371,3.0393862510393492,31,40,18
2025,2025/26,5,182,3.0274725274725274,3.016246844364522,29,39,24
2025,2025/26,6,173,2.976878612716763,3.025124943328398,33,47,14
2025,2025/26,7,179,3.1284916201117317,2.9847794667504397,37,37,13
2025,2025/26,8,184,3.3206521739130435,2.9473109312903145,28,30,18
2025,2025/26,9,184,3.260869565217391,2.996394023265954,32,31,17
2025,2025/26,10,183,3.431693989071038,2.990695182814094,33,39,19
2025,2025/26,11,188,3.4361702127659575,3.008864792391769,33,28,14
2025,2025/26,12,190,3.389473684210526,3.0259543214948423,32,31,12
2025,2025/26,13,185,3.0864864864864865,3.040466876238393,35,39,17
2025,2025/26,14,173,3.069364161849711,3.035792610168513,36,47,16
2025,2025/26,15,181,3.3314917127071824,2.934813522604353,35,32,17
2025,2025/26,16,181,3.3812154696132595,2.950959645710653,33,39,17
2025,2025/26,17,182,2.9725274725274726,2.9911759102431543,35,32,14
2025,2025/26,18,187,3.2245989304812834,2.936344065148354,39,34,22
2025,2025/26,19,193,3.435233160621762,2.939774191754182,35,34,26
2025,2025/26,20,183,3.2459016393442623,2.9902404008189802,40,42,18
2025,2025/26,21,190,3.231578947368421,2.9649724414337637,36,33,14
2025,2025/26,22,185,3.2756756756756755,3.0153143041776795,37,30,11
2025,2025/26,23,185,3.016216216216216,2.980227776119133,36,37,15
2025,2025/26,24,181,2.994475138121547,2.9418012055987535,31,33,15
2025,2025/26,25,184,3.125,2.945041421900923,31,35,13
2025,2025/26,26,178,3.095505617977528,2.9680426339041257,33,34,10
2025,2025/26,27,188,3.2925531914893615,3.0747973551538665,35,29,25
2025,2025/26,28,197,2.934010152284264,2.994813020901834,39,42,23
2025,2025/26,29,190,3.3842105263157896,2.9911335817544193,36,38,21
2025,2025/26,30,191,3.261780104712042,2.964305554890519,35,44,26
2025,2025/26,31,181,2.546961325966851,2.97368788707634,35,41,20
2025,2025/26,32,163,3.098159509202454,2.8602581953533313,35,38,27
2025,2025/26,33,175,4.371428571428571,2.8567437210629953,36,37,24
2025,2025/26,34,180,2.0944444444444446,3.311313282831073,34,54,32
2025,2025/26,35,180,2.9611111111111112,2.692173310040166,30,50,25
2025,2025/26,36,175,3.354285714285714,2.9147534868050906,41,48,17
2025,2025/26,37,165,3.16969696969697,2.9785985752134274,39,35,21
2025,2025/26,38,187,2.7379679144385025,2.937286408419137,36,43,19
