season_label,gameweek,player_id,web_name,team,position,initial_price,predicted_minutes,predicted_points,points_p10,points_p90,predictive_sd,total_points,forecast_eo,realized_eo,nonowner_expected_drag,nonowner_haul_risk,nonowner_rank_sd,owner_rank_sd,captain_rank_sd,nonowner_realized_rank_points,owner_realized_rank_points,captain_realized_rank_points,replacement_xp,value_above_replacement_per_m,fair_expected_at_price,marginal_xp_per_m,fair_price,valuation_edge,is_differential_candidate,realized_value_edge,is_undervalued,is_overvalued,strategy
2023/24,2,355,Haaland,Man City,Forward,14.0,79.0,6.242416164085557,2.9292706681156884,11.699472606702724,3.4218501516141377,2,1.88,1.67,-11.735742388480846,21.99500850060112,6.433078285034578,3.011228133420441,0.41062201819369687,-3.34,-1.3399999999999999,0.6600000000000001,2.4019299300355983,0.3840486234049959,6.265652079603095,0.4202059191139994,13.944703502590993,-0.023235915517537897,False,-4.265652079603095,False,False,model_top_5
2023/24,2,308,Salah,Liverpool,Midfielder,12.5,76.0,4.910578665738324,2.160340396194829,9.628014238969499,2.913645666318638,5,0.32,0.65,-1.5713851730362638,3.0809645564702395,0.9323666132219641,1.9812790530966735,4.894924719415312,-3.25,1.75,6.75,2.5674075051272816,0.27566719536600504,5.330514505670621,0.3705302385004681,11.366662430489418,-0.4199358399322968,False,-0.3305145056706209,False,False,model_top_5
2023/24,2,19,Saka,Arsenal,Midfielder,8.5,90.0,4.642515814547649,1.8922775450041542,9.359951387778823,2.913645666318638,3,1.08,0.99,-5.013917079711462,10.10874749880113,3.1467373196241293,0.23309165330549123,2.6805540130131464,-2.9699999999999998,0.030000000000000027,3.0300000000000002,2.5674075051272816,0.46113517987119285,3.848393551668748,0.3705302385004681,10.643205008294883,0.7941222628789011,False,-0.8483935516687482,True,False,model_top_5
2023/24,2,504,Maddison,Spurs,Midfielder,7.5,90.0,4.368210163559022,1.6179718940155268,9.085645736790195,2.913645666318637,3,0.04,0.04,-0.17472840654236088,0.3634258294716078,0.11654582665274549,2.7970998396658913,5.710745505984528,-0.12,2.88,5.88,2.5674075051272816,0.5145150452662115,3.4778633131682803,0.3705302385004681,9.902899299107046,0.8903468503907415,True,-0.47786331316828035,True,False,model_top_5
2023/24,2,365,Rodrigo,Man City,Midfielder,5.5,90.0,4.152976657575776,1.4027383880322808,8.870412230806949,2.913645666318637,3,0.0,0.0,-0.0,0.0,0.0,2.913645666318637,5.827291332637274,-0.0,3.0,6.0,2.5674075051272816,1.0570461016323296,2.7368028361673438,0.3705302385004681,9.322019566175413,1.416173821408432,True,0.26319716383265623,True,False,model_top_5
2023/24,2,401,Wan-Bissaka,Man Utd,Defender,4.5,90.0,3.7940653108779854,0.9768204735048016,8.06983024048662,2.767463818564892,1,0.01,0.0,-0.03794065310877986,0.08069830240486621,0.02767463818564892,2.739789180379243,5.507252998944136,-0.0,1.0,2.0,2.3618040117760635,1.432261299101922,2.5496225649399022,0.38574148367309297,7.726105561912339,1.2444427459380831,True,-1.5496225649399022,True,False,value_top_5
2023/24,2,395,R.Varane,Man Utd,Defender,5.0,90.0,4.104354479660681,1.287109642287497,8.380119409269316,2.767463818564892,1,0.0,0.0,-0.0,0.0,0.0,2.767463818564892,5.534927637129784,-0.0,1.0,2.0,2.3618040117760635,1.1617003119230782,2.7424933067764488,0.38574148367309297,8.53050224185475,1.361861172884232,True,-1.7424933067764488,True,False,value_top_5
2023/24,2,275,Leno,Fulham,Goalkeeper,4.5,90.0,3.8456093697379834,0.8822264465949847,9.212837721132935,3.2503360415676745,2,0.02,0.01,-0.07691218739475968,0.1842567544226587,0.06500672083135349,3.185329320736321,6.435665362303996,-0.02,1.98,3.98,2.7815709582165073,1.064038411521476,2.9259855277849027,0.33286679405249386,7.262738303683286,0.9196238419530807,True,-0.9259855277849027,True,False,value_top_5
2023/24,2,365,Rodrigo,Man City,Midfielder,5.5,90.0,4.152976657575776,1.4027383880322808,8.870412230806949,2.913645666318637,3,0.0,0.0,-0.0,0.0,0.0,2.913645666318637,5.827291332637274,-0.0,3.0,6.0,2.5674075051272816,1.0570461016323296,2.7368028361673438,0.3705302385004681,9.322019566175413,1.416173821408432,True,0.26319716383265623,True,False,value_top_5
2023/24,2,220,Andersen,Crystal Palace,Defender,4.5,90.0,3.3955066956892423,0.5782618583160586,7.671271625297878,2.7674638185648925,2,0.0,0.0,-0.0,0.0,0.0,2.7674638185648925,5.534927637129785,-0.0,2.0,4.0,2.3618040117760635,1.0337026839131789,2.5496225649399022,0.38574148367309297,6.6928783046476985,0.8458841307493401,True,-0.5496225649399022,True,False,value_top_5
2023/24,2,504,Maddison,Spurs,Midfielder,7.5,90.0,4.368210163559022,1.6179718940155268,9.085645736790195,2.913645666318637,3,0.04,0.04,-0.17472840654236088,0.3634258294716078,0.11654582665274549,2.7970998396658913,5.710745505984528,-0.12,2.88,5.88,2.5674075051272816,0.5145150452662115,3.4778633131682803,0.3705302385004681,9.902899299107046,0.8903468503907415,True,-0.47786331316828035,True,False,differential_top_5
2023/24,2,365,Rodrigo,Man City,Midfielder,5.5,90.0,4.152976657575776,1.4027383880322808,8.870412230806949,2.913645666318637,3,0.0,0.0,-0.0,0.0,0.0,2.913645666318637,5.827291332637274,-0.0,3.0,6.0,2.5674075051272816,1.0570461016323296,2.7368028361673438,0.3705302385004681,9.322019566175413,1.416173821408432,True,0.26319716383265623,True,False,differential_top_5
2023/24,2,526,Bowen,West Ham,Midfielder,7.0,90.0,4.130000343599397,1.3797620740559018,8.84743591683057,2.913645666318637,2,0.01,0.01,-0.04130000343599397,0.08847435916830569,0.029136456663186372,2.8845092096554508,5.798154875974087,-0.02,1.98,3.98,2.5674075051272816,0.5208642794907051,3.292598193918046,0.3705302385004681,9.260010284370605,0.8374021496813508,True,-1.292598193918046,True,False,differential_top_5
2023/24,2,395,R.Varane,Man Utd,Defender,5.0,90.0,4.104354479660681,1.287109642287497,8.380119409269316,2.767463818564892,1,0.0,0.0,-0.0,0.0,0.0,2.767463818564892,5.534927637129784,-0.0,1.0,2.0,2.3618040117760635,1.1617003119230782,2.7424933067764488,0.38574148367309297,8.53050224185475,1.361861172884232,True,-1.7424933067764488,True,False,differential_top_5
2023/24,2,415,Isak,Newcastle,Forward,7.5,67.0,4.051248766802349,0.7381032708324802,9.508305209419515,3.4218501516141373,2,0.0,0.0,-0.0,0.0,0.0,3.4218501516141373,6.843700303228275,-0.0,2.0,4.0,2.4019299300355983,0.47123395336192875,3.5343136053620983,0.4202059191139994,8.730194859059111,0.5169351614402506,True,-1.5343136053620983,True,False,differential_top_5
2023/24,2,365,Rodrigo,Man City,Midfielder,5.5,90.0,4.152976657575776,1.4027383880322808,8.870412230806949,2.913645666318637,3,0.0,0.0,-0.0,0.0,0.0,2.913645666318637,5.827291332637274,-0.0,3.0,6.0,2.5674075051272816,1.0570461016323296,2.7368028361673438,0.3705302385004681,9.322019566175413,1.416173821408432,True,0.26319716383265623,True,False,undervalued_top_5
2023/24,2,395,R.Varane,Man Utd,Defender,5.0,90.0,4.104354479660681,1.287109642287497,8.380119409269316,2.767463818564892,1,0.0,0.0,-0.0,0.0,0.0,2.767463818564892,5.534927637129784,-0.0,1.0,2.0,2.3618040117760635,1.1617003119230782,2.7424933067764488,0.38574148367309297,8.53050224185475,1.361861172884232,True,-1.7424933067764488,True,False,undervalued_top_5
2023/24,2,401,Wan-Bissaka,Man Utd,Defender,4.5,90.0,3.7940653108779854,0.9768204735048016,8.06983024048662,2.767463818564892,1,0.01,0.0,-0.03794065310877986,0.08069830240486621,0.02767463818564892,2.739789180379243,5.507252998944136,-0.0,1.0,2.0,2.3618040117760635,1.432261299101922,2.5496225649399022,0.38574148367309297,7.726105561912339,1.2444427459380831,True,-1.5496225649399022,True,False,undervalued_top_5
2023/24,2,611,Disasi,Chelsea,Defender,5.0,90.0,3.7805957124266705,0.9633508750534867,8.056360642035306,2.7674638185648925,0,0.0,0.0,-0.0,0.0,0.0,2.7674638185648925,5.534927637129785,-0.0,0.0,0.0,2.3618040117760635,0.9458611337670714,2.7424933067764488,0.38574148367309297,7.691186842973802,1.0381024056502217,True,-2.7424933067764488,True,False,undervalued_top_5
2023/24,2,275,Leno,Fulham,Goalkeeper,4.5,90.0,3.8456093697379834,0.8822264465949847,9.212837721132935,3.2503360415676745,2,0.02,0.01,-0.07691218739475968,0.1842567544226587,0.06500672083135349,3.185329320736321,6.435665362303996,-0.02,1.98,3.98,2.7815709582165073,1.064038411521476,2.9259855277849027,0.33286679405249386,7.262738303683286,0.9196238419530807,True,-0.9259855277849027,True,False,undervalued_top_5
