season_label,gameweek,web_name,initial_price,predicted_points,points_p10,points_p90,total_points,forecast_eo,realized_eo,nonowner_expected_drag,nonowner_realized_rank_points,owner_realized_rank_points,value_above_replacement_per_m,fair_price,valuation_edge
2023/24,1,Haaland,14.0,3.0426524763656753,-0.2704930196041935,8.49970891898284,13,0.0,1.88,-0.0,-24.439999999999998,-11.439999999999998,6.0853049527313505,,
2023/24,2,Haaland,14.0,6.242416164085557,2.9292706681156884,11.699472606702724,2,1.88,1.67,-11.735742388480846,-3.34,-1.3399999999999999,0.3840486234049959,13.944703502590993,-0.023235915517537897
2023/24,3,Haaland,14.0,6.008103427118506,2.6949579311486374,11.465159869735672,4,1.67,1.96,-10.033532723287905,-7.84,-3.84,0.3738963299003295,13.740682801913284,-0.10907871140748071
2023/24,4,Haaland,14.0,6.0087287648733705,2.6955832689035018,11.465785207490537,20,1.96,2.02,-11.777108379151805,-40.4,-20.4,0.37002522027316787,13.84640623136269,-0.06364757051624981
2023/24,5,Haaland,14.0,6.840708342935829,3.5275628469659606,12.297764785552996,6,2.02,1.76,-13.818230852730375,-10.56,-4.5600000000000005,0.4606339142921871,14.043621165184998,0.02197128815217919
2023/24,6,Haaland,14.0,6.503008124881207,3.1898626289113383,11.960064567498373,6,1.76,2.01,-11.445294299790925,-12.059999999999999,-6.059999999999999,0.42314011521905126,14.369852337050446,0.16971828356297358
2023/24,7,Haaland,14.0,6.424658743087382,3.111513247117513,11.881715185704547,2,2.01,1.82,-12.913564073605636,-3.64,-1.6400000000000001,0.4090817406209203,13.767985476879527,-0.11012697017688122
2023/24,8,Haaland,14.0,6.115069162508145,2.801923666538276,11.572125605125311,2,1.82,0.9,-11.129425875764824,-1.8,0.19999999999999996,0.3733015801128614,14.817767993154966,0.3032840076006975
2023/24,9,Haaland,14.0,6.088303786480466,2.7751582905105976,11.545360229097632,8,0.9,1.59,-5.47947340783242,-12.72,-4.720000000000001,0.3605440111271908,13.812536986608116,-0.07889808876737536
2023/24,10,Haaland,14.0,6.223675489851972,2.9105299938821036,11.680731932469138,16,1.59,0.91,-9.895644028864636,-14.56,1.4399999999999995,0.3637582402718647,14.039184703352783,0.016056063793867814
2023/24,11,Haaland,14.0,6.398284531503443,3.0851390355335746,11.855340974120608,1,0.91,1.66,-5.822438923668134,-1.66,-0.6599999999999999,0.4354167528390354,13.732988834456144,-0.12949251038456477
2023/24,12,Haaland,14.0,5.334658409747384,2.021512913777515,10.79171485236455,16,1.66,0.96,-8.855532960180657,-15.36,0.6400000000000006,0.28138607282087913,12.83117837546877,-0.43395339524014087
2023/24,13,Haaland,14.0,6.348011064163554,3.0348655681936854,11.80506750678072,7,0.96,1.37,-6.094090621597012,-9.59,-2.5900000000000007,0.3852276347164273,14.28672480232971,0.12302562248157223
2023/24,14,Haaland,14.0,6.156657367846177,2.843511871876308,11.613713810463342,7,1.37,1.41,-8.434620593949262,-9.87,-2.869999999999999,0.3649351746225339,14.277357578605738,0.11178967321117828
2023/24,15,Haaland,14.0,6.377811828221246,3.064666332251377,11.834868270838411,2,1.41,0.89,-8.992714677791955,-1.78,0.21999999999999997,0.3904839869264232,13.780998081496634,-0.09784320809692826
2023/24,16,Haaland,14.0,6.176632198687715,2.863486702717846,11.63368864130488,0,0.89,0.01,-5.497202656832067,-0.0,0.0,0.3907103140464071,14.212898870029933,0.08864848849748341
2023/24,17,Haaland,14.0,4.661669752901361,1.348524256931492,10.118726195518526,0,0.01,0.0,-0.04661669752901361,-0.0,0.0,0.2188295045991251,13.657331081818306,-0.08291475918035207
2023/24,18,Haaland,14.0,4.330282967298485,1.0171374713286165,9.787339409915651,0,0.0,0.0,-0.0,-0.0,0.0,0.43302829672984855,,
2023/24,19,Haaland,14.0,3.5722595893921363,0.25911409342226754,9.029316032009302,0,0.0,0.0,-0.0,-0.0,0.0,0.3572259589392136,,
2023/24,20,Haaland,14.0,3.3510499742312687,0.037904478261399976,8.808106416848435,0,0.0,0.0,-0.0,-0.0,0.0,0.3351049974231269,,
2023/24,21,Haaland,14.0,3.0450769861141733,-0.2680685098556954,8.502133428731339,0,0.0,0.0,-0.0,-0.0,0.0,0.30450769861141735,,
2023/24,22,Haaland,14.0,2.7330463431156984,-0.5800991528541704,8.190102785732865,1,0.0,0.06,-0.0,-0.06,0.94,0.2876890887490209,,
2023/24,23,Haaland,14.0,3.3292464841746794,0.01610098820481065,8.786302926791844,5,0.06,1.14,-0.19975478905048075,-5.699999999999999,-0.6999999999999995,0.33292464841746794,,
2023/24,24,Haaland,14.0,4.483441826682011,1.1702963307121421,9.940498269299177,13,1.14,1.95,-5.111123682417492,-25.349999999999998,-12.35,0.4719412449138959,,
2023/24,25,Haaland,14.0,5.461345763926526,2.1482002679566574,10.918402206543693,10,1.95,2.93,-10.649624239656726,-29.3,-19.3,0.2802864799215352,13.539813120792633,-0.15758994071396426
2023/24,26,Haaland,14.0,7.032247991363766,3.7191024953938974,12.489304433980932,5,2.93,1.9,-20.604486614695837,-9.5,-4.5,0.43953758058097225,15.274074454996327,0.5286732684009356
2023/24,27,Haaland,14.0,6.061767832338192,2.748622336368323,11.518824274955357,6,1.9,1.93,-11.517358881442563,-11.58,-5.58,0.3632741559171263,14.63498620599373,0.2442611793463927
2023/24,28,Haaland,14.0,6.3657568108626155,3.0526113148927467,11.822813253479781,2,1.93,0.69,-12.285910644964847,-1.38,0.6200000000000001,0.3799087686739419,14.07753589850013,0.032940411732282016
2023/24,29,Haaland,14.0,5.933263677465186,2.6201181814953176,11.390320120082352,0,0.69,0.07,-4.093951937450978,-0.0,0.0,0.2980180581766544,15.028075069210638,0.28431474911992716
2023/24,30,Haaland,14.0,4.734060854941906,1.4209153589720374,10.191117297559071,2,0.07,0.68,-0.33138425984593345,-1.36,0.6399999999999999,0.25517455201686556,14.345426745893562,0.0815328042009611
2023/24,31,Haaland,14.0,5.348551774887892,2.0354062789180234,10.805608217505057,0,0.68,0.05,-3.637015206923767,-0.0,0.0,0.25468906178281403,13.86401723125206,-0.04103606175103813
2023/24,32,Haaland,14.0,3.87172913287444,0.5585836369045714,9.328785575491606,8,0.05,1.09,-0.193586456643722,-8.72,-0.7200000000000006,0.387172913287444,,
2023/24,33,Haaland,14.0,5.266566428580326,1.9534209326104572,10.723622871197492,10,1.09,1.79,-5.740557407152556,-17.9,-7.9,0.2666836130863599,13.779787942885266,-0.0678716027693822
2023/24,34,Haaland,14.0,5.33055398022967,2.0174084842598012,10.787610422846836,0,1.79,0.05,-9.54169162461111,-0.0,0.0,0.24659760074162818,14.0997268412144,0.02886130335698489
2023/24,35,Haaland,14.0,4.316419084782813,1.0032735888129447,9.77347552739998,5,0.05,0.8,-0.2158209542391407,-4.0,0.9999999999999998,0.14337136511395956,12.614106166264119,-0.22478729788552965
2023/24,36,Haaland,14.0,4.6835178178250345,1.3703723218551658,10.1405742604422,21,0.8,1.97,-3.746814254260028,-41.37,-20.37,0.4683517817825035,,
2023/24,37,Haaland,14.0,6.106105254861306,2.792959758891437,11.56316169747847,15,1.97,2.01,-12.029027352076772,-30.15,-15.149999999999997,0.6106105254861306,,
2023/24,38,Haaland,14.0,7.560529631114009,4.24738413514414,13.017586073731174,2,2.01,1.87,-15.196664558539156,-3.74,-1.7400000000000002,0.4779812881560782,13.999402744092572,-0.000317225011809974
2024/25,1,Haaland,15.0,3.376969507751388,0.15694920813434532,8.557524406630005,7,0.0,0.76,-0.0,-5.32,1.68,6.753939015502776,,
2024/25,2,Haaland,15.0,6.310853164816513,3.0908328651994705,11.49140806369513,17,0.76,1.51,-4.79624840526055,-25.67,-8.67,0.3843982777286344,15.864719488902642,0.2985084438248373
2024/25,3,Haaland,15.0,7.528759060195922,4.30873876057888,12.709313959074539,17,1.51,1.27,-11.368426180895842,-21.59,-4.59,0.5139478507609685,16.426023515399805,0.6473422987915773
2024/25,4,Haaland,15.0,7.717015508360798,4.496995208743755,12.897570407239416,13,1.27,1.32,-9.800609695618213,-17.16,-4.160000000000001,0.5018391298992289,15.773705994701409,0.3742253260665249
2024/25,5,Haaland,15.0,7.694512582906181,4.474492283289138,12.875067481784798,9,1.32,0.75,-10.156756609436158,-6.75,2.25,0.5268795945980033,15.196983408625204,0.1039607885934366
2024/25,6,Haaland,15.0,7.426509614658922,4.20648931504188,12.60706451353754,2,0.75,0.97,-5.569882210994192,-1.94,0.06000000000000005,0.4709586315165753,15.108376297621245,0.05505811822778561
2024/25,7,Haaland,15.0,7.000638006717944,3.7806177071009013,12.18119290559656,2,0.97,1.23,-6.790618866516406,-2.46,-0.45999999999999996,0.4172085903598262,15.722230606516387,0.29784299000432846
2024/25,8,Haaland,15.0,6.795118422879081,3.575098123262038,11.975673321757698,2,1.23,1.41,-8.357995660141269,-2.82,-0.8199999999999998,0.3728397976157393,15.075415311793558,0.030453712519278753
2024/25,9,Haaland,15.0,6.41804632646918,3.1980260268521374,11.598601225347798,6,1.41,1.47,-9.049445320321544,-8.82,-2.82,0.3257264085707541,15.579267517255436,0.2002554533258083
2024/25,10,Haaland,15.0,6.253048222714444,3.0330279230974013,11.433603121593062,2,1.47,0.6,-9.191980887390232,-1.2,0.8,0.3102423494691736,15.698115414671198,0.22959503186289165
2024/25,11,Haaland,15.0,5.937382602788138,2.7173623031710954,11.117937501666756,5,0.6,0.41,-3.5624295616728827,-2.05,2.95,0.3009849998548736,14.566452170500362,-0.14269855261666287
2024/25,12,Haaland,15.0,5.895451895476273,2.6754315958592305,11.07600679435489,2,0.41,0.21,-2.4171352771452717,-0.42,1.58,0.29078439600589107,14.837944903656009,-0.05101007987469419
2024/25,13,Haaland,15.0,5.795873136281551,2.575852836664508,10.976428035160168,2,0.21,0.02,-1.2171333586191255,-0.04,1.96,0.2908031796457427,14.717757827171832,-0.08875839659085027
2024/25,14,Haaland,15.0,5.796001019487441,2.575980719870399,10.97655591836606,5,0.02,0.01,-0.11592002038974883,-0.05,4.95,0.29752678620925144,15.781807280073595,0.22057747591002386
2024/25,15,Haaland,15.0,5.889549251224283,2.6695289516072402,11.0701041501029,7,0.01,0.02,-0.05889549251224283,-0.14,6.859999999999999,0.3007553659087553,14.226490821166772,-0.28552659253384327
