season,season_label,train_rows,test_rows,mae,rmse,correlation,p10_p90_coverage,decision_rows,decision_mae,decision_rmse,decision_correlation,naive_last3_mae,decision_p10_p90_coverage
2023,2023/24,25559,29679,1.006644964578224,2.004742102667184,0.5159128822580118,0.9402607904578996,6729,2.3343210856114918,3.2169503376017685,0.24655669999269536,2.6591370684103635,0.8274632189032546
2024,2024/25,54373,27599,1.0936451836558911,2.1375936826412154,0.4918396317550046,0.9295264321171057,6707,2.2743355176538644,3.1073747171487307,0.25798074076863353,2.602504845683614,0.8222752348292829
2025,2025/26,81168,29747,1.0125558920704614,1.9797798782450762,0.5515125478025086,0.9327327125424413,6776,2.357959060327304,3.1907354146822646,0.16761195063276582,2.775211530893349,0.7966351829988194
